game,type,target,predictor,r_squared,coef,p_value,n_obs,r_squared_adj,group
athey_bagwell,MLR,average_profit,family_qwen3,0.5696122965064789,0.15409114393000128,3.928691954000827e-06,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,param_size_num,0.5696122965064789,0.0007655816433366316,0.015150235372736558,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,arch_dense,0.5696122965064789,-0.08167873609035409,0.19942263282431535,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,thinking_enabled_False,0.5696122965064789,-0.018708945614696063,0.5403984889594347,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,thinking_enabled_True,0.5696122965064789,0.17280008954469117,7.80319203606314e-05,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,family_version_3.1,0.5696122965064789,0.17367434485865213,0.005269959421351748,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,family_version_3.3,0.5696122965064789,0.31902764284315843,0.0001969060549814644,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,family_version_4,0.5696122965064789,0.03403708155626778,0.6169490525463275,24,0.41771075409700087,Architectural
athey_bagwell,MLR,average_profit,cooperation,0.8947379847082892,-0.31292906782740015,0.23784274023601595,24,0.8725775604363502,Strategic
athey_bagwell,MLR,average_profit,deception,0.8947379847082892,-0.416079502887839,1.2542887804663386e-05,24,0.8725775604363502,Strategic
athey_bagwell,MLR,average_profit,rationality,0.8947379847082892,0.4056601524044261,0.13295546478762454,24,0.8725775604363502,Strategic
athey_bagwell,MLR,average_profit,reasoning,0.8947379847082892,-0.775225912730189,0.0047408734823785915,24,0.8725775604363502,Strategic
athey_bagwell,MLR,average_profit,family_qwen3,0.9604560427218629,0.10019313144026576,0.0008902063261397488,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,param_size_num,0.9604560427218629,0.00025913284990440057,0.0321074160988786,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,arch_dense,0.9604560427218629,0.061584405983374856,0.02193412285920474,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,thinking_enabled_False,0.9604560427218629,0.04833756464397715,0.008116308713105735,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,thinking_enabled_True,0.9604560427218629,0.05185556679629302,0.017300504709565432,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,family_version_3.1,0.9604560427218629,0.06617691610076526,0.15635120188889315,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,family_version_3.3,0.9604560427218629,0.09508495324406241,0.04474026343871032,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,family_version_4,0.9604560427218629,0.32597864534192805,1.0960172661455347e-05,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,cooperation,0.9604560427218629,-0.04186576475529158,0.8422515901746064,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,deception,0.9604560427218629,-0.3173634491593087,4.1511542389164665e-05,24,0.9350349273287748,Both
athey_bagwell,MLR,average_profit,rationality,0.9604560427218629,0.41543807205099625,0.03534139370313353,24,0.9350349273287748,Both
athey_bagwell,MLR,win_rate,family_qwen3,0.4107022156980936,0.10846039125234036,1.618106269502429e-05,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,param_size_num,0.4107022156980936,0.00015035493506326407,0.5114155244993634,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,arch_dense,0.4107022156980936,-0.06170068694798819,0.21932895257186008,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,thinking_enabled_False,0.4107022156980936,0.0026479194573164402,0.9122766704778325,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,thinking_enabled_True,0.4107022156980936,0.105812471795017,0.000931841114107298,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,family_version_3.1,0.4107022156980936,0.21778490791745247,9.448022792070801e-05,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,family_version_3.3,0.4107022156980936,0.22812390493041068,0.0005180264581391629,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,family_version_4,0.4107022156980936,0.19868273246277013,0.00155813363919031,24,0.2027147624150678,Architectural
athey_bagwell,MLR,win_rate,cooperation,0.7619462887985741,0.9277790736318963,0.0021124822375167213,24,0.7118297180193265,Strategic
athey_bagwell,MLR,win_rate,deception,0.7619462887985741,-0.03881308872440399,0.5979714370045428,24,0.7118297180193265,Strategic
athey_bagwell,MLR,win_rate,rationality,0.7619462887985741,-0.6520574507804202,0.02254411840075952,24,0.7118297180193265,Strategic
athey_bagwell,MLR,win_rate,reasoning,0.7619462887985741,-1.2044412503458428,0.00010217280957829126,24,0.7118297180193265,Strategic
athey_bagwell,MLR,win_rate,family_qwen3,0.8121747776279186,-0.04270739201642404,0.24427698485579424,24,0.6914299918172948,Both
athey_bagwell,MLR,win_rate,param_size_num,0.8121747776279186,-0.00012728634382265622,0.44072172347901595,24,0.6914299918172948,Both
athey_bagwell,MLR,win_rate,arch_dense,0.8121747776279186,0.006300277880231311,0.8605084684327073,24,0.6914299918172948,Both
athey_bagwell,MLR,win_rate,thinking_enabled_False,0.8121747776279186,-0.028870749728286127,0.23186782672285233,24,0.6914299918172948,Both
athey_bagwell,MLR,win_rate,thinking_enabled_True,0.8121747776279186,-0.013836642288137857,0.6324903057384778,24,0.6914299918172948,Both
athey_bagwell,MLR,win_rate,family_version_3.1,0.8121747776279186,-0.04566041049171632,0.4943680787593022,24,0.6914299918172948,Both
