game,condition,target_type,target,analysis,feature,r_squared,r_squared_adj,coef,p_value,n_obs
athey_bagwell,more_players,magic,cooperation,SLR,architecture_moe,0.0006525659035623299,,-0.006945054945055179,0.9371891086581526,12
athey_bagwell,more_players,magic,cooperation,SLR,size_params,0.14254174146279808,,0.0008460832132848343,0.22630629966103558,12
athey_bagwell,more_players,magic,cooperation,SLR,family_encoded,0.04651808881107211,,0.05863736263736284,0.5007966176463712,12
athey_bagwell,more_players,magic,cooperation,SLR,version,0.19194393835377943,,-0.1613650114961078,0.15428717124411842,12
athey_bagwell,more_players,magic,cooperation,SLR,thinking,0.14018978887542966,,0.11589743589743579,0.23049007651722253,12
athey_bagwell,more_players,magic,cooperation,SLR,reasoning_chars,0.13324176773625807,,5.881937788992684e-06,0.24333455129834997,12
athey_bagwell,more_players,magic,deception,SLR,architecture_moe,0.006860897780377906,,0.07028571428571434,0.7980124575000391,12
athey_bagwell,more_players,magic,deception,SLR,size_params,0.22516851366148416,,-0.0033190131289031937,0.11906541450239884,12
athey_bagwell,more_players,magic,deception,SLR,family_encoded,0.12215336684647671,,-0.2965714285714282,0.2654519449628815,12
athey_bagwell,more_players,magic,deception,SLR,version,0.3144955491544378,,0.6446775039328798,0.05784796005317286,12
athey_bagwell,more_players,magic,deception,SLR,thinking,0.18107603341639833,,-0.41111111111111104,0.16785203652434977,12
athey_bagwell,more_players,magic,deception,SLR,reasoning_chars,0.16274341241914514,,-2.0289205194450022e-05,0.19346073842905784,12
athey_bagwell,more_players,magic,rationality,SLR,architecture_moe,0.1218629032867844,,0.07025641025641013,0.26605998191726093,12
athey_bagwell,more_players,magic,rationality,SLR,size_params,0.0177248912111021,,0.00022086176380975995,0.6799840428060518,12
athey_bagwell,more_players,magic,rationality,SLR,family_encoded,0.10492940218635105,,-0.06519267399267381,0.30434473208404117,12
athey_bagwell,more_players,magic,rationality,SLR,version,0.1337419573175277,,0.09971091659607641,0.24238488979055456,12
athey_bagwell,more_players,magic,rationality,SLR,thinking,0.032323448022041124,,0.041196581196581164,0.5760770956864849,12
athey_bagwell,more_players,magic,rationality,SLR,reasoning_chars,0.03390644239602514,,2.196484002856369e-06,0.5667214321117839,12
athey_bagwell,more_players,magic,reasoning,SLR,architecture_moe,0.17537002655127187,,-0.0880651824366111,0.17543741587228065,12
athey_bagwell,more_players,magic,reasoning,SLR,size_params,0.0896467188568576,,0.0005190059133777449,0.3444339753095227,12
athey_bagwell,more_players,magic,reasoning,SLR,family_encoded,0.366381238058775,,0.12728967223252963,0.03702006453978742,12
athey_bagwell,more_players,magic,reasoning,SLR,version,0.8567845162619064,,-0.2637066219918871,1.5802707731850178e-05,12
athey_bagwell,more_players,magic,reasoning,SLR,thinking,0.058249475094426684,,0.05778627545294199,0.44983186609964076,12
athey_bagwell,more_players,magic,reasoning,SLR,reasoning_chars,0.050553605029468485,,2.8024595822036733e-06,0.48231961894906394,12
athey_bagwell,more_players,performance,average_profit,SLR,architecture_moe,0.07987237481240017,,365.10442632361605,0.3734407479817229,12
athey_bagwell,more_players,performance,average_profit,SLR,size_params,0.11976784854100386,,3.685254413943868,0.2704913058845599,12
athey_bagwell,more_players,performance,average_profit,SLR,family_encoded,0.0025464803839903016,,65.19119874808791,0.8762352222268808,12
athey_bagwell,more_players,performance,average_profit,SLR,version,0.011088412573284967,,184.29441041994812,0.7446527543831476,12
athey_bagwell,more_players,performance,average_profit,SLR,thinking,0.14727187054386648,,564.4569711666061,0.21813131087057908,12
athey_bagwell,more_players,performance,average_profit,SLR,reasoning_chars,0.14505497050613814,,0.02916230474750023,0.22192362071365296,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,architecture_moe,0.03155776109382169,,0.03793406593406583,0.5807069527212834,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,size_params,0.08277198850765799,,0.0005064033250311098,0.3645285113748141,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,family_encoded,0.001958671086688346,,-0.00945054945054942,0.8913705269647196,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,version,0.0031763954917110038,,-0.01630430398128365,0.8618884768766348,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,thinking,0.09527093396372377,,0.07504273504273498,0.3289917622792362,12
athey_bagwell,more_players,performance,productive_efficiency,SLR,reasoning_chars,0.09334005221623809,,3.866758594474339e-06,0.33419764693937515,12
athey_bagwell,more_players,performance,win_rate,SLR,architecture_moe,0.0371358371358369,,0.02628571428571419,0.5484717261428056,12
athey_bagwell,more_players,performance,win_rate,SLR,size_params,0.027864287998275006,,0.00018768333000079677,0.6040898634468055,12
athey_bagwell,more_players,performance,win_rate,SLR,family_encoded,0.15507195507195481,,-0.05371428571428555,0.20531384673100658,12
athey_bagwell,more_players,performance,win_rate,SLR,version,0.1569299193840359,,0.07320398531725228,0.2023767578773086,12
athey_bagwell,more_players,performance,win_rate,SLR,thinking,0.04013104013103985,,0.03111111111111098,0.5324513600623693,12
athey_bagwell,more_players,performance,win_rate,SLR,reasoning_chars,0.03931769350292624,,1.6030753170713762e-06,0.5367211696047451,12
athey_bagwell,baseline,magic,cooperation,SLR,architecture_moe,0.0024659595908906873,,-0.013934065934066153,0.8781946263721869,12
athey_bagwell,baseline,magic,cooperation,SLR,size_params,0.12560804709415563,,0.0008197325239274458,0.258335690397713,12
athey_bagwell,baseline,magic,cooperation,SLR,family_encoded,0.019046678363056624,,0.03872527472527486,0.6688454079858823,12
athey_bagwell,baseline,magic,cooperation,SLR,version,0.22584440850906462,,-0.18065426969464754,0.11843526745971758,12
