game,model,condition,metric,mean,std,ci_95
athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,baseline,reasoning,0.620012987012987,0.13182631179089238,0.03746462328257127
athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,more_players,coordination,0.6979660894660894,0.1789560602607075,0.05085874959799742
athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,more_players,deception,0.3020339105339105,0.17895606026070754,0.05085874959799742
athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,more_players,rationality,1.0,0.0,0.0
athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,more_players,reasoning,0.6979660894660894,0.1789560602607075,0.05085874959799742
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,baseline,coordination,0.7612756132756132,0.1300342904731949,0.03695533645910033
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,baseline,deception,0.23872438672438673,0.13003429047319487,0.03695533645910033
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,baseline,rationality,0.6167655122655122,0.12922707435012368,0.03672592817521803
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,baseline,reasoning,0.7612756132756132,0.1300342904731949,0.03695533645910033
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,more_players,coordination,0.7436240981240981,0.16783669697284703,0.047698661516472805
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,more_players,deception,0.25637590187590187,0.167836696972847,0.047698661516472805
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,more_players,rationality,0.6234090909090909,0.1454533462077296,0.041337383613568486
athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,more_players,reasoning,0.7436240981240981,0.16783669697284703,0.047698661516472805
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,baseline,coordination,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,baseline,deception,0.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,baseline,rationality,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,baseline,reasoning,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,more_players,coordination,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,more_players,deception,0.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,more_players,rationality,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,more_players,reasoning,1.0,0.0,0.0
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,baseline,coordination,0.9930555555555556,0.03574183241002347,0.01015771638058403
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,baseline,deception,0.006944444444444444,0.03574183241002345,0.01015771638058403
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,baseline,rationality,0.8560526695526696,0.12119834212501945,0.03444418772322619
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,baseline,reasoning,0.9930555555555556,0.03574183241002347,0.01015771638058403
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,more_players,coordination,0.8855952380952381,0.11926303935713778,0.03389418076216203
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,more_players,deception,0.1144047619047619,0.11926303935713778,0.033894180762162024
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,more_players,rationality,0.7893939393939394,0.16674148764442392,0.04738740646922537
athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,more_players,reasoning,0.8855952380952381,0.11926303935713778,0.03389418076216203
athey_bagwell,random_agent,baseline,coordination,0.5563614718614719,0.24169408360604117,0.06868869855275894
athey_bagwell,random_agent,baseline,deception,0.44363852813852817,0.2416940836060412,0.06868869855275894
