condition_type,game_name,magic_metric,performance_metric,correlation_coefficient,p_value,n_samples,ci_95_low,ci_95_high
pooled,green_porter,cooperation,win_rate,0.0,1.0,10,0.0,0.0
pooled,green_porter,cooperation,average_profit,-0.7816496463045793,0.007568691154720802,10,-0.9458021100971163,-0.29934527964283314
pooled,green_porter,deception,win_rate,0.0,1.0,10,0.0,0.0
pooled,green_porter,deception,average_profit,0.7816496463045793,0.007568691154720802,10,0.29934527964283314,0.9458021100971163
more_players,green_porter,cooperation,win_rate,0.0,1.0,10,0.0,0.0
more_players,green_porter,cooperation,average_profit,-0.7816496463045793,0.007568691154720802,10,-0.9458021100971163,-0.29934527964283314
more_players,green_porter,deception,win_rate,0.0,1.0,10,0.0,0.0
more_players,green_porter,deception,average_profit,0.7816496463045793,0.007568691154720802,10,0.29934527964283314,0.9458021100971163
