game,type,target,predictor,r_squared,coef,p_value,n_obs,r_squared_adj
green_porter,SLR,average_profit,cooperation,0.015094374266863352,-379.7340747033704,0.6271988366947155,18,
green_porter,SLR,average_profit,deception,0.015094374266863341,379.7340747033704,0.6271988366947157,18,
green_porter,SLR,average_profit,rationality,0.015094374266863352,-379.7340747033704,0.6271988366947155,18,
green_porter,SLR,reversion_frequency,cooperation,0.632911827390388,-0.031536443034223774,7.897325049700125e-05,18,
green_porter,SLR,reversion_frequency,deception,0.6329118273903881,0.03153644303422378,7.89732504970008e-05,18,
green_porter,SLR,reversion_frequency,rationality,0.632911827390388,-0.031536443034223774,7.897325049700125e-05,18,
green_porter,SLR,win_rate,cooperation,0.0,0.0,1.0,18,
green_porter,SLR,win_rate,deception,0.0,0.0,1.0,18,
green_porter,SLR,win_rate,rationality,0.0,0.0,1.0,18,
green_porter,MLR_Combined,average_profit,cooperation,0.015094374266863442,353.0426043060054,0.06642619853376937,18,-0.04646222734145766
green_porter,MLR_Combined,average_profit,deception,0.015094374266863442,1085.8192833153814,0.019018000347658572,18,-0.04646222734145766
green_porter,MLR_Combined,average_profit,rationality,0.015094374266863442,353.0426043060055,0.06642619853376931,18,-0.04646222734145766
green_porter,MLR_Combined,reversion_frequency,cooperation,0.6329118273903879,0.010672226063118987,1.0631694825957406e-06,18,0.6099688166022872
green_porter,MLR_Combined,reversion_frequency,deception,0.6329118273903879,0.052880895160461766,2.3450511509348316e-11,18,0.6099688166022872
green_porter,MLR_Combined,reversion_frequency,rationality,0.6329118273903879,0.010672226063118987,1.0631694825957406e-06,18,0.6099688166022872
green_porter,MLR_Combined,win_rate,cooperation,-inf,0.1999999999999999,6.51251907647846e-241,18,-inf
green_porter,MLR_Combined,win_rate,deception,-inf,0.40000000000000013,7.131554452409703e-240,18,-inf
green_porter,MLR_Combined,win_rate,rationality,-inf,0.20000000000000007,6.51251907647846e-241,18,-inf
