game,target,arch_total_shap,strat_total_shap,n_obs
athey_bagwell,average_profit,509.0284740732864,530.2741791948329,14

athey_bagwell,win_rate,0.08615621178363397,0.08166055767317061,14
green_porter,average_profit,118.79276459426171,177.9154017073359,14
green_porter,win_rate,0.010973486983349242,0.007047701332114605,14

salop,average_profit,138.3267069345117,195.74384313575524,14
salop,win_rate,0.08906286729143871,0.1184681782503211,14

spulber,average_profit,183.8437920185485,120.93476667255742,14
spulber,win_rate,0.17913629456984026,0.10947185223311584,14

