game,condition,think_mean,think_std,inst_mean,inst_std,p_value,avg_chars,think_profit,inst_profit,sig
athey_bagwell,baseline,4362.949685466453,0.6176859758773507,3922.5245350176233,605.4329258088401,0.0736,13510.666666666666,4362.95 ± 0.62,3922.52 ± 605.43,
athey_bagwell,more_players,4282.48227012608,10.59321497875992,3718.0252989594737,679.0920189967312,0.0466,13055.133333333333,4282.48 ± 10.59,3718.03 ± 679.09,*
green_porter,baseline,2636.0287132825247,82.8890236817135,2636.615847910742,135.07479560532218,0.9941,24834.066666666666,2636.03 ± 82.89,2636.62 ± 135.07,
green_porter,more_players,1518.9100664080397,86.49448869797706,1554.7927580223727,151.94503449272526,0.6763,25597.433333333334,1518.91 ± 86.49,1554.79 ± 151.95,
salop,baseline,1235.0427350427353,201.90879371844164,334.85883822997573,427.78505530405374,0.0036,28081.766666666666,1235.04 ± 201.91,334.86 ± 427.79,**
salop,more_players,853.3333333333334,37.71236166328253,137.94039872164873,220.38667824518902,0.0,22369.100000000002,853.33 ± 37.71,137.94 ± 220.39,***
spulber,baseline,373.06596493004116,12.542882602631032,99.28021211111111,155.6228494520117,0.001,20911.166666666668,373.07 ± 12.54,99.28 ± 155.62,**
spulber,more_players,256.9595043333333,17.083807843614643,35.24357022222224,202.54209631735276,0.0148,26409.233333333334,256.96 ± 17.08,35.24 ± 202.54,*
