game,metric,mean_3P,mean_5P,mean_diff,t_statistic,p_value,sig,n_models
athey_bagwell,win_rate,0.8817,0.9367,-0.055,-3.5269,0.004740328193977824,**,12
green_porter,win_rate,0.975,0.975,0.0,0.0,0.9999999999999971,,12
salop,win_rate,0.2333,0.2833,-0.05,-1.7321,0.11117295276905698,,12
spulber,win_rate,0.5517,0.4442,0.1075,1.48,0.1669380118395563,,12
